pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-11-30 23:41:50+00:00,2022-12-01 00:07:45+00:00,10.930000000,33.000000000,1,43.000000000,Queens
2022-11-30 23:41:43+00:00,2022-12-01 00:18:08+00:00,21.100000000,52.000000000,1,70.650000000,Queens
2022-11-30 23:41:37+00:00,2022-11-30 23:50:33+00:00,4.180000000,13.000000000,1,18.410000000,Queens
2022-11-30 23:41:33+00:00,2022-12-01 00:11:12+00:00,17.300000000,52.000000000,0,72.570000000,Queens
2022-11-30 23:41:32+00:00,2022-12-01 00:01:20+00:00,8.930000000,27.500000000,1,34.560000000,Queens
2022-11-30 23:41:23+00:00,2022-12-01 00:10:01+00:00,16.400000000,45.500000000,2,48.050000000,Queens
2022-11-30 23:41:23+00:00,2022-11-30 23:54:21+00:00,5.350000000,17.500000000,1,23.810000000,Queens
2022-11-30 23:41:21+00:00,2022-11-30 23:48:05+00:00,2.720000000,9.500000000,1,14.460000000,Queens
2022-11-30 23:41:15+00:00,2022-12-01 00:06:51+00:00,22.180000000,58.000000000,2,60.550000000,Queens
2022-11-30 23:40:58+00:00,2022-11-30 23:53:32+00:00,7.530000000,21.500000000,2,30.600000000,Queens
2022-11-30 23:40:56+00:00,2022-12-01 00:18:06+00:00,26.280000000,69.500000000,1,86.460000000,Queens
2022-11-30 23:40:53+00:00,2022-12-01 00:13:10+00:00,19.250000000,52.000000000,1,73.100000000,Queens
2022-11-30 23:40:44+00:00,2022-12-01 00:11:08+00:00,16.100000000,45.000000000,1,57.060000000,Queens
2022-11-30 23:40:44+00:00,2022-11-30 23:54:15+00:00,7.300000000,21.500000000,1,35.350000000,Queens
2022-11-30 23:40:40+00:00,2022-12-01 00:19:12+00:00,18.180000000,52.000000000,1,62.210000000,Queens
2022-11-30 23:40:27+00:00,2022-12-01 00:06:51+00:00,18.840000000,52.000000000,1,61.550000000,Queens
2022-11-30 23:40:25+00:00,2022-12-01 00:02:13+00:00,7.290000000,24.500000000,1,28.630000000,Queens
2022-11-30 23:40:19+00:00,2022-11-30 23:57:13+00:00,10.440000000,29.000000000,1,46.690000000,Queens
2022-11-30 23:40:11+00:00,2022-11-30 23:57:23+00:00,13.590000000,36.500000000,1,48.810000000,Queens
2022-11-30 23:40:00+00:00,2022-12-01 00:17:40+00:00,20.460000000,52.000000000,1,78.560000000,Queens
2022-11-30 23:39:59+00:00,2022-12-01 00:20:10+00:00,21.380000000,52.000000000,1,67.860000000,Queens
2022-11-30 23:39:57+00:00,2022-12-01 00:02:44+00:00,9.410000000,30.000000000,1,40.130000000,Queens
2022-11-30 23:39:56+00:00,2022-12-01 00:00:06+00:00,11.200000000,31.500000000,1,48.100000000,Queens
2022-11-30 23:39:50+00:00,2022-12-01 00:12:47+00:00,16.900000000,52.000000000,1,75.700000000,Queens
2022-11-30 23:39:42+00:00,2022-12-01 00:02:21+00:00,9.030000000,28.000000000,1,47.270000000,Queens
2022-11-30 23:39:42+00:00,2022-12-01 00:10:04+00:00,11.910000000,37.000000000,1,49.660000000,Queens
2022-11-30 23:39:41+00:00,2022-11-30 23:53:59+00:00,3.210000000,11.500000000,2,14.050000000,Queens
2022-11-30 23:39:38+00:00,2022-11-30 23:50:49+00:00,4.290000000,14.000000000,2,16.550000000,Queens
2022-11-30 23:39:32+00:00,2022-12-01 00:08:41+00:00,14.740000000,41.500000000,2,44.050000000,Queens
2022-11-30 23:39:31+00:00,2022-12-01 00:12:59+00:00,19.550000000,52.000000000,1,67.610000000,Queens
2022-11-30 23:39:27+00:00,2022-11-30 23:57:03+00:00,7.530000000,23.000000000,1,30.410000000,Queens
2022-11-30 23:39:25+00:00,2022-11-30 23:53:25+00:00,8.040000000,23.500000000,1,42.120000000,Queens
2022-11-30 23:39:20+00:00,2022-12-01 00:05:59+00:00,15.300000000,42.500000000,1,53.810000000,Queens
2022-11-30 23:39:16+00:00,2022-12-01 00:24:20+00:00,18.670000000,52.000000000,1,67.610000000,Queens
2022-11-30 23:39:07+00:00,2022-12-01 00:05:42+00:00,18.740000000,52.000000000,1,75.470000000,Queens
2022-11-30 23:39:02+00:00,2022-12-01 00:05:33+00:00,10.500000000,31.000000000,4,33.550000000,Queens
2022-11-30 23:39:02+00:00,2022-12-01 00:05:33+00:00,10.500000000,-31.000000000,4,-33.550000000,Queens
2022-11-30 23:39:02+00:00,2022-11-30 23:56:11+00:00,6.270000000,20.500000000,2,23.050000000,Queens
2022-11-30 23:38:49+00:00,2022-12-01 00:14:12+00:00,20.800000000,57.000000000,1,71.450000000,Queens
