pickup_datetime,dropoff_datetime,trip_distance,fare_amount,payment_type,total_amount,borough
2022-11-30 23:58:54+00:00,2022-12-01 00:12:54+00:00,2.070000000,10.500000000,1,17.160000000,Manhattan
2022-11-30 23:58:53+00:00,2022-12-01 00:06:51+00:00,0.890000000,6.500000000,1,11.840000000,Manhattan
2022-11-30 23:58:47+00:00,2022-12-01 00:01:04+00:00,0.460000000,3.500000000,1,8.760000000,Manhattan
2022-11-30 23:58:46+00:00,2022-12-01 00:08:08+00:00,1.420000000,8.000000000,1,14.160000000,Manhattan
2022-11-30 23:58:43+00:00,2022-12-01 00:20:22+00:00,5.170000000,19.500000000,1,33.300000000,Manhattan
2022-11-30 23:58:42+00:00,2022-12-01 00:10:49+00:00,2.000000000,9.500000000,1,15.300000000,Manhattan
2022-11-30 23:58:35+00:00,2022-12-01 00:06:30+00:00,2.830000000,9.500000000,1,16.300000000,Manhattan
2022-11-30 23:58:34+00:00,2022-12-01 00:01:23+00:00,0.460000000,4.000000000,1,9.750000000,Manhattan
2022-11-30 23:58:30+00:00,2022-12-01 00:08:47+00:00,1.810000000,9.000000000,1,14.720000000,Manhattan
2022-11-30 23:58:30+00:00,2022-12-01 00:06:20+00:00,1.100000000,6.000000000,2,9.800000000,Manhattan
2022-11-30 23:58:29+00:00,2022-12-01 00:00:13+00:00,0.500000000,3.500000000,1,9.300000000,Manhattan
2022-11-30 23:58:21+00:00,2022-12-01 00:07:39+00:00,3.810000000,12.000000000,1,17.700000000,Manhattan
2022-11-30 23:58:16+00:00,2022-12-01 00:08:23+00:00,1.870000000,9.000000000,1,15.360000000,Manhattan
2022-11-30 23:58:12+00:00,2022-12-01 00:15:36+00:00,3.500000000,15.000000000,1,22.550000000,Manhattan
2022-11-30 23:58:12+00:00,2022-12-01 00:26:28+00:00,0E-9,33.790000000,0,37.090000000,Manhattan
2022-11-30 23:58:09+00:00,2022-12-01 00:03:54+00:00,0.920000000,6.000000000,1,10.800000000,Manhattan
2022-11-30 23:58:08+00:00,2022-12-01 00:45:53+00:00,10.840000000,37.500000000,1,47.500000000,Manhattan
2022-11-30 23:58:08+00:00,2022-11-30 23:58:16+00:00,0E-9,15.800000000,1,19.320000000,Manhattan
2022-11-30 23:58:07+00:00,2022-12-01 00:15:48+00:00,8.210000000,24.500000000,1,33.300000000,Manhattan
2022-11-30 23:58:07+00:00,2022-12-01 00:00:42+00:00,0.970000000,4.500000000,1,9.960000000,Manhattan
2022-11-30 23:58:06+00:00,2022-12-01 00:09:26+00:00,3.700000000,12.500000000,1,19.550000000,Manhattan
2022-11-30 23:58:06+00:00,2022-12-01 00:14:47+00:00,5.500000000,19.000000000,1,27.350000000,Manhattan
2022-11-30 23:58:06+00:00,2022-12-01 00:18:59+00:00,2.600000000,13.000000000,1,20.150000000,Manhattan
2022-11-30 23:58:06+00:00,2022-12-01 00:11:01+00:00,1.520000000,9.500000000,2,13.300000000,Manhattan
